DATE_TIME,STATION,TOTAL_TRAFFIC
2017-05-18 16:00:00,34 ST-HERALD SQ,80533.5
2017-05-30 16:00:00,GRD CNTRL-42 ST,80525.4
2017-04-05 16:00:00,GRD CNTRL-42 ST,80492.00357143294
2017-03-29 08:00:00,34 ST-PENN STA,80463.0
2017-05-19 16:00:00,34 ST-HERALD SQ,80402.0
2017-05-19 16:00:00,GRD CNTRL-42 ST,80365.40718970945
2017-05-24 16:00:00,34 ST-HERALD SQ,80224.5
2017-05-26 16:00:00,34 ST-PENN STA,80219.25
2017-05-16 16:00:00,GRD CNTRL-42 ST,80113.24290399518
2017-04-07 16:00:00,34 ST-HERALD SQ,80061.5
2017-05-22 08:00:00,34 ST-PENN STA,80047.75
2017-05-15 08:00:00,34 ST-PENN STA,80046.62199312716
2017-04-28 16:00:00,34 ST-HERALD SQ,80039.84999999986
2017-05-11 16:00:00,34 ST-HERALD SQ,80036.09090908617
2017-03-30 08:00:00,34 ST-PENN STA,79946.25
2017-04-05 16:00:00,34 ST-HERALD SQ,79907.875
2017-04-04 16:00:00,34 ST-PENN STA,79793.0
2017-03-30 16:00:00,34 ST-HERALD SQ,79702.75
2017-05-12 16:00:00,GRD CNTRL-42 ST,79644.54290399535
2017-03-17 08:00:00,34 ST-PENN STA,79569.29000000001
2017-04-20 16:00:00,GRD CNTRL-42 ST,79539.74999999837
2017-03-06 08:00:00,GRD CNTRL-42 ST,79511.45
2017-04-25 08:00:00,34 ST-PENN STA,79494.875
2017-05-09 08:00:00,34 ST-PENN STA,79490.5
2017-04-12 16:00:00,GRD CNTRL-42 ST,79419.30357143295
2017-05-15 16:00:00,GRD CNTRL-42 ST,79372.4429039951
2017-04-19 08:00:00,34 ST-PENN STA,79279.02859597452
2017-05-03 16:00:00,34 ST-HERALD SQ,79237.0
2017-03-27 16:00:00,GRD CNTRL-42 ST,79179.75
2017-03-29 16:00:00,34 ST-HERALD SQ,79177.75
2017-03-31 16:00:00,34 ST-HERALD SQ,79107.0
2017-04-27 16:00:00,34 ST-HERALD SQ,79002.54999999702
2017-05-25 16:00:00,34 ST-HERALD SQ,78989.0
2017-04-11 16:00:00,GRD CNTRL-42 ST,78976.55357142666
2017-05-24 08:00:00,34 ST-PENN STA,78919.75
2017-04-12 16:00:00,34 ST-HERALD SQ,78816.25
2017-05-17 16:00:00,34 ST-HERALD SQ,78619.5
2017-05-10 16:00:00,34 ST-HERALD SQ,78500.25
2017-05-02 08:00:00,34 ST-PENN STA,78456.14204545505
2017-03-02 16:00:00,23 ST,78317.0
2017-03-07 16:00:00,23 ST,78314.88333334029
2017-04-14 16:00:00,34 ST-PENN STA,78273.0
2017-05-02 16:00:00,34 ST-HERALD SQ,78259.5
2017-05-23 16:00:00,34 ST-HERALD SQ,78231.75
2017-05-23 08:00:00,34 ST-PENN STA,78184.25
2017-04-03 16:00:00,34 ST-PENN STA,78154.0
2017-05-04 08:00:00,34 ST-PENN STA,78038.921875
2017-04-24 08:00:00,34 ST-PENN STA,78034.75
2017-05-16 16:00:00,34 ST-HERALD SQ,78015.75
2017-04-26 16:00:00,34 ST-HERALD SQ,77889.75
2017-04-20 16:00:00,34 ST-HERALD SQ,77754.41161616147
2017-04-24 16:00:00,GRD CNTRL-42 ST,77754.00000000163
2017-04-11 16:00:00,34 ST-HERALD SQ,77648.5
2017-04-21 08:00:00,34 ST-PENN STA,77613.82428571893
2017-03-15 08:00:00,34 ST-PENN STA,77559.25
2017-05-03 08:00:00,34 ST-PENN STA,77400.64204545505
2017-04-10 16:00:00,34 ST-HERALD SQ,77138.5
2017-04-28 16:00:00,GRD CNTRL-42 ST,77128.69999999837
2017-04-06 16:00:00,34 ST-HERALD SQ,77036.0
2017-04-18 16:00:00,34 ST-HERALD SQ,77012.0
2017-05-09 16:00:00,34 ST-HERALD SQ,76888.25
2017-04-25 16:00:00,34 ST-HERALD SQ,76807.42307692207
2017-05-01 08:00:00,34 ST-PENN STA,76752.07352941111
2017-03-09 16:00:00,23 ST,76751.28333333135
2017-04-21 16:00:00,34 ST-HERALD SQ,76736.41161616147
2017-03-28 16:00:00,34 ST-HERALD SQ,76698.0
2017-05-11 08:00:00,34 ST-PENN STA,76357.75
2017-03-03 08:00:00,GRD CNTRL-42 ST,76323.09999999628
2017-04-06 08:00:00,34 ST-PENN STA,76198.5
2017-05-31 08:00:00,34 ST-PENN STA,75950.5
2017-04-03 16:00:00,34 ST-HERALD SQ,75937.75
2017-03-08 16:00:00,23 ST,75914.88333332539
2017-05-01 16:00:00,GRD CNTRL-42 ST,75754.98333333395
2017-03-31 08:00:00,34 ST-PENN STA,75739.75
2017-05-10 08:00:00,34 ST-PENN STA,75736.93333332837
2017-03-16 16:00:00,23 ST,75537.69230769225
2017-05-08 08:00:00,34 ST-PENN STA,75520.25
2017-05-05 08:00:00,34 ST-PENN STA,75501.00000007037
2017-04-13 08:00:00,34 ST-PENN STA,75454.25
2017-04-17 16:00:00,GRD CNTRL-42 ST,75349.30357142747
2017-04-18 08:00:00,34 ST-PENN STA,75280.84965635742
2017-05-18 16:00:00,23 ST,75037.0
2017-04-04 16:00:00,34 ST-HERALD SQ,74888.0
2017-05-22 16:00:00,34 ST-HERALD SQ,74675.5
2017-05-15 16:00:00,34 ST-HERALD SQ,74624.5
2017-05-31 16:00:00,34 ST-HERALD SQ,74605.25
2017-05-08 16:00:00,34 ST-HERALD SQ,74461.25
2017-04-12 08:00:00,34 ST-PENN STA,74395.25
2017-05-30 16:00:00,34 ST-HERALD SQ,74242.0
2017-03-16 08:00:00,GRD CNTRL-42 ST,74175.92704429597
2017-03-01 16:00:00,23 ST,74014.75
2017-04-25 16:00:00,23 ST,74000.25
2017-05-01 16:00:00,34 ST-HERALD SQ,73960.25
2017-04-27 16:00:00,23 ST,73764.0
2017-03-28 08:00:00,GRD CNTRL-42 ST,73681.75
2017-04-10 08:00:00,34 ST-PENN STA,73602.29166666174
2017-04-17 16:00:00,34 ST-HERALD SQ,73575.75
2017-04-24 16:00:00,34 ST-HERALD SQ,73538.25
2017-03-15 16:00:00,34 ST-HERALD SQ,73525.5
2017-05-30 08:00:00,34 ST-PENN STA,73235.75
2017-03-06 16:00:00,23 ST,73159.25
2017-04-20 08:00:00,34 ST-PENN STA,72998.37480831612
2017-05-25 08:00:00,GRD CNTRL-42 ST,72960.12567710513
2017-04-14 16:00:00,34 ST-HERALD SQ,72870.25
2017-03-27 16:00:00,34 ST-HERALD SQ,72856.5
2017-04-06 08:00:00,GRD CNTRL-42 ST,72774.80357143295
2017-03-10 08:00:00,GRD CNTRL-42 ST,72726.3
2017-04-11 08:00:00,34 ST-PENN STA,72676.75
2017-04-05 08:00:00,34 ST-PENN STA,72493.5
2017-04-03 08:00:00,34 ST-PENN STA,72455.25
2017-05-05 16:00:00,34 ST-HERALD SQ,72389.0
2017-03-03 16:00:00,23 ST,72350.25
2017-03-13 16:00:00,34 ST-HERALD SQ,72312.75
2017-05-26 12:00:00,34 ST-PENN STA,72296.25
2017-05-31 08:00:00,GRD CNTRL-42 ST,71946.75
2017-04-07 08:00:00,34 ST-PENN STA,71882.25
2017-03-17 12:00:00,GRD CNTRL-42 ST,71810.86330127786
2017-04-19 16:00:00,23 ST,71767.5
2017-04-04 08:00:00,34 ST-PENN STA,71684.875
2017-04-04 08:00:00,GRD CNTRL-42 ST,71523.05357142666
2017-05-04 16:00:00,23 ST,71460.5
2017-03-30 16:00:00,23 ST,71435.22222222388
2017-05-11 16:00:00,23 ST,71263.25
2017-04-28 08:00:00,34 ST-PENN STA,71073.5
2017-05-10 08:00:00,GRD CNTRL-42 ST,70947.4429039951
