DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
3/2/17 8:00,GRD CNTRL-42 ST,82103.8,3/2/17,8:00:00
5/31/17 16:00,GRD CNTRL-42 ST,82094,5/31/17,16:00:00
5/23/17 16:00,GRD CNTRL-42 ST,81840.53996,5/23/17,16:00:00
3/8/17 8:00,GRD CNTRL-42 ST,81830.1,3/8/17,8:00:00
5/12/17 16:00,34 ST-HERALD SQ,81818.70455,5/12/17,16:00:00
5/10/17 16:00,GRD CNTRL-42 ST,81661.0429,5/10/17,16:00:00
3/13/17 8:00,34 ST-PENN STA,81655,3/13/17,8:00:00
4/19/17 16:00,34 ST-HERALD SQ,81453.375,4/19/17,16:00:00
4/26/17 16:00,GRD CNTRL-42 ST,81423.95,4/26/17,16:00:00
4/3/17 16:00,GRD CNTRL-42 ST,81270.30357,4/3/17,16:00:00
5/8/17 16:00,GRD CNTRL-42 ST,81137.6929,5/8/17,16:00:00
5/17/17 8:00,34 ST-PENN STA,81084.76375,5/17/17,8:00:00
5/4/17 16:00,34 ST-HERALD SQ,80998,5/4/17,16:00:00
3/28/17 8:00,34 ST-PENN STA,80994.75,3/28/17,8:00:00
3/1/17 8:00,GRD CNTRL-42 ST,80991.8,3/1/17,8:00:00
5/18/17 8:00,34 ST-PENN STA,80820.20962,5/18/17,8:00:00
4/10/17 16:00,GRD CNTRL-42 ST,80706.80357,4/10/17,16:00:00
3/9/17 8:00,GRD CNTRL-42 ST,80688.6,3/9/17,8:00:00
4/20/17 16:00,34 ST-PENN STA,80639.98494,4/20/17,16:00:00
5/16/17 8:00,34 ST-PENN STA,80607.94287,5/16/17,8:00:00
4/27/17 16:00,GRD CNTRL-42 ST,80602.9,4/27/17,16:00:00
5/18/17 16:00,34 ST-HERALD SQ,80533.5,5/18/17,16:00:00
5/30/17 16:00,GRD CNTRL-42 ST,80525.4,5/30/17,16:00:00
4/5/17 16:00,GRD CNTRL-42 ST,80492.00357,4/5/17,16:00:00
3/29/17 8:00,34 ST-PENN STA,80463,3/29/17,8:00:00
5/19/17 16:00,34 ST-HERALD SQ,80402,5/19/17,16:00:00
5/19/17 16:00,GRD CNTRL-42 ST,80365.40719,5/19/17,16:00:00
5/24/17 16:00,34 ST-HERALD SQ,80224.5,5/24/17,16:00:00
5/26/17 16:00,34 ST-PENN STA,80219.25,5/26/17,16:00:00
5/16/17 16:00,GRD CNTRL-42 ST,80113.2429,5/16/17,16:00:00
4/7/17 16:00,34 ST-HERALD SQ,80061.5,4/7/17,16:00:00
5/22/17 8:00,34 ST-PENN STA,80047.75,5/22/17,8:00:00
5/15/17 8:00,34 ST-PENN STA,80046.62199,5/15/17,8:00:00
4/28/17 16:00,34 ST-HERALD SQ,80039.85,4/28/17,16:00:00
5/11/17 16:00,34 ST-HERALD SQ,80036.09091,5/11/17,16:00:00
3/30/17 8:00,34 ST-PENN STA,79946.25,3/30/17,8:00:00
4/5/17 16:00,34 ST-HERALD SQ,79907.875,4/5/17,16:00:00
4/4/17 16:00,34 ST-PENN STA,79793,4/4/17,16:00:00
3/30/17 16:00,34 ST-HERALD SQ,79702.75,3/30/17,16:00:00
5/12/17 16:00,GRD CNTRL-42 ST,79644.5429,5/12/17,16:00:00
3/17/17 8:00,34 ST-PENN STA,79569.29,3/17/17,8:00:00
4/20/17 16:00,GRD CNTRL-42 ST,79539.75,4/20/17,16:00:00
3/6/17 8:00,GRD CNTRL-42 ST,79511.45,3/6/17,8:00:00
4/25/17 8:00,34 ST-PENN STA,79494.875,4/25/17,8:00:00
5/9/17 8:00,34 ST-PENN STA,79490.5,5/9/17,8:00:00
4/12/17 16:00,GRD CNTRL-42 ST,79419.30357,4/12/17,16:00:00
5/15/17 16:00,GRD CNTRL-42 ST,79372.4429,5/15/17,16:00:00
4/19/17 8:00,34 ST-PENN STA,79279.0286,4/19/17,8:00:00
5/3/17 16:00,34 ST-HERALD SQ,79237,5/3/17,16:00:00
3/27/17 16:00,GRD CNTRL-42 ST,79179.75,3/27/17,16:00:00
3/29/17 16:00,34 ST-HERALD SQ,79177.75,3/29/17,16:00:00
3/31/17 16:00,34 ST-HERALD SQ,79107,3/31/17,16:00:00
4/27/17 16:00,34 ST-HERALD SQ,79002.55,4/27/17,16:00:00
5/25/17 16:00,34 ST-HERALD SQ,78989,5/25/17,16:00:00
4/11/17 16:00,GRD CNTRL-42 ST,78976.55357,4/11/17,16:00:00
5/24/17 8:00,34 ST-PENN STA,78919.75,5/24/17,8:00:00
4/12/17 16:00,34 ST-HERALD SQ,78816.25,4/12/17,16:00:00
5/17/17 16:00,34 ST-HERALD SQ,78619.5,5/17/17,16:00:00
5/10/17 16:00,34 ST-HERALD SQ,78500.25,5/10/17,16:00:00
5/2/17 8:00,34 ST-PENN STA,78456.14205,5/2/17,8:00:00
3/2/17 16:00,23 ST,78317,3/2/17,16:00:00
3/7/17 16:00,23 ST,78314.88333,3/7/17,16:00:00
4/14/17 16:00,34 ST-PENN STA,78273,4/14/17,16:00:00
5/2/17 16:00,34 ST-HERALD SQ,78259.5,5/2/17,16:00:00
5/23/17 16:00,34 ST-HERALD SQ,78231.75,5/23/17,16:00:00
5/23/17 8:00,34 ST-PENN STA,78184.25,5/23/17,8:00:00
4/3/17 16:00,34 ST-PENN STA,78154,4/3/17,16:00:00
5/4/17 8:00,34 ST-PENN STA,78038.92188,5/4/17,8:00:00
4/24/17 8:00,34 ST-PENN STA,78034.75,4/24/17,8:00:00
5/16/17 16:00,34 ST-HERALD SQ,78015.75,5/16/17,16:00:00
4/26/17 16:00,34 ST-HERALD SQ,77889.75,4/26/17,16:00:00
4/20/17 16:00,34 ST-HERALD SQ,77754.41162,4/20/17,16:00:00
4/24/17 16:00,GRD CNTRL-42 ST,77754,4/24/17,16:00:00
4/11/17 16:00,34 ST-HERALD SQ,77648.5,4/11/17,16:00:00
4/21/17 8:00,34 ST-PENN STA,77613.82429,4/21/17,8:00:00
3/15/17 8:00,34 ST-PENN STA,77559.25,3/15/17,8:00:00
5/3/17 8:00,34 ST-PENN STA,77400.64205,5/3/17,8:00:00
4/10/17 16:00,34 ST-HERALD SQ,77138.5,4/10/17,16:00:00
4/28/17 16:00,GRD CNTRL-42 ST,77128.7,4/28/17,16:00:00
4/6/17 16:00,34 ST-HERALD SQ,77036,4/6/17,16:00:00
4/18/17 16:00,34 ST-HERALD SQ,77012,4/18/17,16:00:00
5/9/17 16:00,34 ST-HERALD SQ,76888.25,5/9/17,16:00:00
4/25/17 16:00,34 ST-HERALD SQ,76807.42308,4/25/17,16:00:00
5/1/17 8:00,34 ST-PENN STA,76752.07353,5/1/17,8:00:00
3/9/17 16:00,23 ST,76751.28333,3/9/17,16:00:00
4/21/17 16:00,34 ST-HERALD SQ,76736.41162,4/21/17,16:00:00
3/28/17 16:00,34 ST-HERALD SQ,76698,3/28/17,16:00:00
5/11/17 8:00,34 ST-PENN STA,76357.75,5/11/17,8:00:00
3/3/17 8:00,GRD CNTRL-42 ST,76323.1,3/3/17,8:00:00
4/6/17 8:00,34 ST-PENN STA,76198.5,4/6/17,8:00:00
5/31/17 8:00,34 ST-PENN STA,75950.5,5/31/17,8:00:00
4/3/17 16:00,34 ST-HERALD SQ,75937.75,4/3/17,16:00:00
3/8/17 16:00,23 ST,75914.88333,3/8/17,16:00:00
5/1/17 16:00,GRD CNTRL-42 ST,75754.98333,5/1/17,16:00:00
3/31/17 8:00,34 ST-PENN STA,75739.75,3/31/17,8:00:00
5/10/17 8:00,34 ST-PENN STA,75736.93333,5/10/17,8:00:00
3/16/17 16:00,23 ST,75537.69231,3/16/17,16:00:00
5/8/17 8:00,34 ST-PENN STA,75520.25,5/8/17,8:00:00
5/5/17 8:00,34 ST-PENN STA,75501,5/5/17,8:00:00
4/13/17 8:00,34 ST-PENN STA,75454.25,4/13/17,8:00:00
4/17/17 16:00,GRD CNTRL-42 ST,75349.30357,4/17/17,16:00:00
4/18/17 8:00,34 ST-PENN STA,75280.84966,4/18/17,8:00:00
5/18/17 16:00,23 ST,75037,5/18/17,16:00:00
4/4/17 16:00,34 ST-HERALD SQ,74888,4/4/17,16:00:00
5/22/17 16:00,34 ST-HERALD SQ,74675.5,5/22/17,16:00:00
5/15/17 16:00,34 ST-HERALD SQ,74624.5,5/15/17,16:00:00
5/31/17 16:00,34 ST-HERALD SQ,74605.25,5/31/17,16:00:00
5/8/17 16:00,34 ST-HERALD SQ,74461.25,5/8/17,16:00:00
4/12/17 8:00,34 ST-PENN STA,74395.25,4/12/17,8:00:00
5/30/17 16:00,34 ST-HERALD SQ,74242,5/30/17,16:00:00
3/16/17 8:00,GRD CNTRL-42 ST,74175.92704,3/16/17,8:00:00
3/1/17 16:00,23 ST,74014.75,3/1/17,16:00:00
4/25/17 16:00,23 ST,74000.25,4/25/17,16:00:00
